정류소명,정류소아이디(ID),승차건수(총합계),하차건수(총합계),승차건수(카드),하차건수(카드),승차건수(현금),일평균 승하차건수
롯데캐슬·모래내시장·구월시장,39310,31013,53038,30718,53038,295,2801
롯데캐슬캠퍼스타운,39977,6,650,6,650,0,21
롯데캐슬캠퍼스타운,39978,1883,2428,1857,2428,26,143
롯데캐슬후문,39285,4340,4164,4276,4164,64,283
루에블리아파트,89283,1057,3970,1008,3970,49,167
루에블리아파트,89284,6891,6848,6749,6848,142,457
루원더퍼스트아파트,89107,3422,5282,3294,5282,128,290
루원더퍼스트아파트,89108,7755,2179,7703,2179,52,331
루원더퍼스트아파트105동앞,89378,81,1169,75,1169,6,41
루원숲속마을,89383,136,442,135,442,1,19
루원숲속마을,89384,390,116,387,116,3,16
루원시티2차리더스뷰아파트,89072,3892,4671,3862,4671,30,285
루원시티사거리,89076,371,540,350,540,21,30
루원시티프라디움,89150,15792,3825,15686,3825,106,653
루원시티프라디움105동,89308,6616,10917,6423,10917,193,584
루원시티프라디움105동,89309,3036,5576,2989,5576,47,287
루원이편한세상하늘채(107동),42225,8194,15856,8062,15856,132,801
루원이편한세상하늘채(112동),42721,4864,2032,4778,2032,86,229
루원이편한세상하늘채(125동),42216,6019,2666,5862,2666,157,289
루원제일풍경채정문앞,89040,3180,9854,3125,9854,55,434
루원지웰시티푸르지오,42228,4880,6166,4717,6166,163,368
루원호반베르디움,89149,4975,12904,4858,12904,117,595
루원호반베르디움104동,89368,332,891,331,891,1,40
리안월드입구,90177,37,37,36,37,1,2
리안월드입구,90178,27,16,27,16,0,1
린나이코리아,40011,3,256,1,256,2,8
린나이코리아,40012,380,0,380,0,0,12
린스트라우스,42881,7328,2842,7149,2842,179,339
린스트라우스정문,42795,6141,3788,6108,3788,33,330
린스트리우스,42831,2538,2737,2521,2737,17,175
마그네,43028,166,180,150,180,16,11
마그네다리,43158,268,151,261,151,7,13
마그네다리,43900,17,25,15,25,2,1
마그네사거리,43029,279,300,267,300,12,19
마그네사거리,43030,534,303,510,303,24,27
마니산상회,43417,74,20,65,20,9,3
마니산상회,43443,29,74,27,74,2,3
마니산입구,43102,205,711,197,711,8,30
마니산입구,43103,935,259,930,259,5,39
마당개,35681,67,64,67,64,0,4
마당개,35697,23,10,23,10,0,1
마린월드,70004,956,183,945,183,11,37
마린월드,70029,13,139,1,139,12,5
마미,43747,53,27,52,27,1,2
마미,43765,5,16,5,16,0,0
마송,80131,743,5587,742,5587,1,211
마송,80132,3664,904,3595,904,69,152
마시란,35424,56,449,56,449,0,16
마시란,35425,337,71,335,71,2,13
마시란해변(슈퍼앞),35262,0,9,0,9,0,0
마시란해변(슈퍼앞),35263,8,0,8,0,0,0
마시란해변(전주집),35260,0,5,0,5,0,0
마시란해변(전주집),35261,30,0,30,0,0,1
마시란해변승마장,35212,13,0,13,0,0,0
마시란해변승마장,35213,0,1,0,1,0,0
마을금고,40528,1974,5554,1938,5554,36,250
마을회관,43314,38,0,38,0,0,1
마을회관,43773,0,28,0,28,0,0
마을회관입구,35024,217,1459,194,1459,23,55
마을회관입구,35402,880,116,877,116,3,33
마장공원,40286,6658,31,6588,31,70,222
마장포,35679,13,5,10,5,3,0
마장포,35699,70,51,70,51,0,4
마장포고개,35677,38,41,38,41,0,2
마장포고개,35701,58,20,55,20,3,2
마전고등학교,42752,134,7457,115,7457,19,253
마전고등학교,42753,5782,199,5629,199,153,199
마전역,42412,3075,8110,2965,8110,110,372
마전역,42413,19280,4783,19053,4783,227,802
마전주공아파트,42420,28,172,27,172,1,6
마전주공아파트,89322,0,4,0,4,0,0
마전지구대원아파트,42481,5053,74,4879,74,174,170
마전지구대원아파트,89446,9,3964,9,3964,0,132
마전지구버스차고지,89259,3888,89,3634,89,254,132
마전지구버스차고지,89345,222,2065,23,2065,199,76
마전초등학교,42408,5265,5194,5192,5194,73,348
마포역,14001,1,361,1,361,0,12
마포역,14002,221,1,221,1,0,7
막촌,43460,341,11,311,11,30,11
막촌,43776,0,134,0,134,0,4
만석동행정복지센터,36046,4100,1728,3942,1728,158,194
만석부두,36076,609,3513,571,3513,38,137
만석부두,36079,4523,1652,4471,1652,52,205
만석비치타운,36106,609,9119,564,9119,45,324
만석비치타운,36126,1556,943,1385,943,171,83
만석삼거리,36185,2725,2538,2642,2538,83,175
만석삼거리,36186,1394,2376,1385,2376,9,125
만석주공,36057,14489,2684,14130,2684,359,572
만석초등학교,36056,811,213,770,213,41,34
만석초등학교,36187,2,149,1,149,1,5
만수1동행정복지센터,39294,11955,4750,11840,4750,115,556
만수2동행정복지센터·포레시안,39731,16641,10089,16386,10089,255,891
만수2동행정복지센터·포레시안,39735,9943,12006,9843,12006,100,731
만수3동주민센터,39425,19919,26114,19675,26114,244,1534
만수3동주민센터,39427,31855,13497,31613,13497,242,1511
만수3동주민센터,39544,572,125,560,125,12,23
만수3동주민센터,39545,75,1094,72,1094,3,38
만수4동주민센터,39452,7098,6579,6980,6579,118,455
만수4동주민센터,39454,6517,12034,6422,12034,95,618
만수6동주민센터입구,39277,4721,12402,4686,12402,35,570
만수7.8단지앞,39497,888,2024,878,2024,10,97
만수7.8단지앞,39635,2589,2271,2575,2271,14,162
만수북중학교,39468,1076,1893,1046,1893,30,98
만수북중학교,39469,2120,596,2063,596,57,90
만수북초등학교,39420,6955,4853,6820,4853,135,393
만수소방서,39428,9360,16068,9271,16068,89,847
만수소방서,39433,35876,12902,35562,12902,314,1625
만수신동아아파트·동인천고,39485,10281,10338,9604,10338,677,687
만수신동아아파트·동인천고,39578,476,71,458,71,18,18
만수역,39385,3453,99,3451,99,2,118
만수역,39388,461,19097,393,19097,68,651
만수종합시장,39451,29421,9728,28792,9728,629,1304
만수종합시장,39592,9773,22180,9631,22180,142,1065
만수주공1단지,39401,3644,3542,3631,3542,13,239
만수주공320동앞,39431,1493,1812,1472,1812,21,110
